Zmienna	Kategoria
OIL_e	Oil Prices, Brent, USD        
GCD	General Government Final Consumption Expenditure, Deflator      
TOT	Terms of trade
AKD	Akumulacja deflator
URT_e	Unemployment Rate, % of civilian work force (NAIRU)    
PEX	przciêtna emerytura
WX	Przeciêtne wynagrodzenie brutto w GN       
NEX	Liczba emerytów i rencistów
LNX	Zatrudnienie w GN         
LNX_NSA	Zatrudnienie w GN (sezonowoœæ)        
LN	Total Employment, K. pers.        
LPROD	Labor productivity          
GD	Pubict debt, PLN         
DBT_BFG	Zad³u¿enie Bankowego Funduszu Gwarancyjnego        
DBT_KFD	Zad³u¿enie Krajowego Funduszu Drogowego        
DBT_OTH	Pozosta³e zad³u¿enia          
DBTP	Pañstwowy d³ug publiczny         
DBTPN	Pañstwowy d³ug publiczny netto        
DBTT	D³ug Skarbu Pañstwa         
WH	Wealth           
WHR	Maj¹tek (ceny sta³e)         
WR	Waloryzacja w ujêciu realnym        
KSR	Capital Stock, Volume         
